2025-02-27 18:00:00, 2.56, broken clouds
2025-02-27 21:00:00, 6.17, broken clouds
2025-02-28 00:00:00, 8.85, overcast clouds
2025-02-28 03:00:00, 2.25, scattered clouds
2025-02-28 06:00:00, 2.64, few clouds
2025-02-28 09:00:00, 1.52, clear sky
2025-02-28 12:00:00, 0.72, clear sky
2025-02-28 15:00:00, 0.45, few clouds
2025-02-28 18:00:00, 6.67, clear sky
2025-02-28 21:00:00, 9.69, few clouds
2025-03-01 00:00:00, 9.39, few clouds
2025-03-01 03:00:00, 4.13, overcast clouds
2025-03-01 06:00:00, 2.6, broken clouds
2025-03-01 09:00:00, 1.5, scattered clouds
2025-03-01 12:00:00, 1.45, scattered clouds
2025-03-01 15:00:00, 2.73, overcast clouds
2025-03-01 18:00:00, 7.36, broken clouds
2025-03-01 21:00:00, 10.21, scattered clouds
2025-03-02 00:00:00, 9.99, broken clouds
2025-03-02 03:00:00, 5.13, overcast clouds
2025-03-02 06:00:00, 3.93, overcast clouds
2025-03-02 09:00:00, 3.82, overcast clouds
2025-03-02 12:00:00, 3.33, overcast clouds
2025-03-02 15:00:00, 3.37, overcast clouds
2025-03-02 18:00:00, 8.26, overcast clouds
2025-03-02 21:00:00, 10.92, overcast clouds
2025-03-03 00:00:00, 11.01, overcast clouds
2025-03-03 03:00:00, 7.31, overcast clouds
2025-03-03 06:00:00, 5.9, overcast clouds
2025-03-03 09:00:00, 6.65, overcast clouds
2025-03-03 12:00:00, 5.93, overcast clouds
2025-03-03 15:00:00, 6.01, overcast clouds
2025-03-03 18:00:00, 9, overcast clouds
2025-03-03 21:00:00, 11.19, overcast clouds
2025-03-04 00:00:00, 11.74, overcast clouds
2025-03-04 03:00:00, 5.64, few clouds
2025-03-04 06:00:00, 3.85, clear sky
2025-03-04 09:00:00, 2.87, clear sky
2025-03-04 12:00:00, 2.68, clear sky
2025-03-04 15:00:00, 2.65, clear sky
2025-02-27 18:00:00, 2.87, broken clouds
2025-02-27 21:00:00, 6.32, broken clouds
2025-02-28 00:00:00, 8.85, overcast clouds
2025-02-28 03:00:00, 2.25, scattered clouds
2025-02-28 06:00:00, 2.64, few clouds
2025-02-28 09:00:00, 1.52, clear sky
2025-02-28 12:00:00, 0.72, clear sky
2025-02-28 15:00:00, 0.45, few clouds
2025-02-28 18:00:00, 6.67, clear sky
2025-02-28 21:00:00, 9.69, few clouds
2025-03-01 00:00:00, 9.39, few clouds
2025-03-01 03:00:00, 4.13, overcast clouds
2025-03-01 06:00:00, 2.6, broken clouds
2025-03-01 09:00:00, 1.5, scattered clouds
2025-03-01 12:00:00, 1.45, scattered clouds
2025-03-01 15:00:00, 2.73, overcast clouds
2025-03-01 18:00:00, 7.36, broken clouds
2025-03-01 21:00:00, 10.21, scattered clouds
2025-03-02 00:00:00, 9.99, broken clouds
2025-03-02 03:00:00, 5.13, overcast clouds
2025-03-02 06:00:00, 3.93, overcast clouds
2025-03-02 09:00:00, 3.82, overcast clouds
2025-03-02 12:00:00, 3.33, overcast clouds
2025-03-02 15:00:00, 3.37, overcast clouds
2025-03-02 18:00:00, 8.26, overcast clouds
